identifier1	identifier2	prediction
1980-1990_syden_4	2012-2019_syden_111	0.1219154789576823
1980-1990_syden_6	2012-2019_syden_187	0.05195855712394293
1980-1990_syden_6	2012-2019_syden_213	0.013917646102247456
1980-1990_syden_6	2012-2019_syden_22	0.021413665265120223
1980-1990_syden_6	2012-2019_syden_242	0.009274533847639621
1980-1990_syden_6	2012-2019_syden_313	0.029659377452356223
1980-1990_syden_6	2012-2019_syden_4	0.07201086817195473
1980-1990_syden_6	2012-2019_syden_83	0.0268200404843386
1980-1990_syden_6	2012-2019_syden_87	0.010032731898959816
1980-1990_syden_7	1980-1990_syden_8	0.06836651469829476
1980-1990_syden_6	2012-2019_syden_111	0.0384382663358304
1980-1990_syden_7	2012-2019_syden_111	0.041145512367795074
1980-1990_syden_7	2012-2019_syden_22	0.07591703996418192
1980-1990_syden_7	2012-2019_syden_242	0.08779789538551241
1980-1990_syden_7	2012-2019_syden_245	0.1836490681827561
1980-1990_syden_7	2012-2019_syden_270	0.05365158005123197
1980-1990_syden_7	2012-2019_syden_313	0.10476023702974137
1980-1990_syden_7	2012-2019_syden_4	0.11307378562390105
1980-1990_syden_7	2012-2019_syden_87	0.04897766435011759
1980-1990_syden_8	2012-2019_syden_111	0.04123442160468524
1980-1990_syden_8	2012-2019_syden_213	0.05535328808370751
1980-1990_syden_7	2012-2019_syden_187	0.1187587111581643
1980-1990_syden_8	2012-2019_syden_242	0.029645485200083085
1980-1990_syden_6	1980-1990_syden_8	0.026793210921273
1980-1990_syden_5	2012-2019_syden_83	0.047203901807036354
1980-1990_syden_4	2012-2019_syden_213	0.10846787985170345
1980-1990_syden_4	2012-2019_syden_22	0.09934457680381685
1980-1990_syden_4	2012-2019_syden_242	0.11331841550840224
1980-1990_syden_4	2012-2019_syden_245	0.011030440087181617
1980-1990_syden_4	2012-2019_syden_270	0.14178476440580948
1980-1990_syden_4	2012-2019_syden_313	0.14184240169114318
1980-1990_syden_4	2012-2019_syden_4	0.05422941677602021
1980-1990_syden_4	2012-2019_syden_83	0.10319616309555854
1980-1990_syden_4	2012-2019_syden_87	0.11082243056175213
1980-1990_syden_6	1980-1990_syden_7	0.05622690713183605
1980-1990_syden_5	1980-1990_syden_6	0.03202891342088326
1980-1990_syden_5	2012-2019_syden_111	0.04560140308760594
1980-1990_syden_5	2012-2019_syden_187	0.033301231063848566
1980-1990_syden_5	2012-2019_syden_213	0.035466257310949566
1980-1990_syden_5	2012-2019_syden_22	0.03687337562440484
1980-1990_syden_5	2012-2019_syden_242	0.007690242067188659
1980-1990_syden_5	2012-2019_syden_245	0.1310976686220333
1980-1990_syden_5	2012-2019_syden_270	0.019673227393088334
1980-1990_syden_5	2012-2019_syden_313	0.040166865824771726
1980-1990_syden_5	2012-2019_syden_4	0.07081413457053522
1980-1990_syden_5	1980-1990_syden_7	0.0319511190384532
1980-1990_syden_4	2012-2019_syden_187	0.1097061938353943
1980-1990_syden_8	2012-2019_syden_245	0.13142001757178368
