identifier1	identifier2	prediction
bib11653828_18281027_144028_246_0001_alto.xml-1-26	bib19277277_18950525_147683_140_0004_alto.xml-45-38	0.06300762680931406
bib11653790_19021024_145648_83_0001_alto.xml-16-4	bib19225772_18280617_148004_68_0004_alto.xml-4-3	0.015714537030569513
bib15760690_18950202_145050_19_0001_alto.xml-82-31	bib19225772_18280617_148004_68_0004_alto.xml-4-3	0.009820657463143258
bib19277277_18950506_147683_122_0003_alto.xml-5-3	bib19520388_17990206_147487_6_0007_alto.xml-1-15	0.01453825887623451
bib11653823_18221218_144010_295_0003_alto.xml-9-32	bib19225772_18280617_148004_68_0004_alto.xml-4-3	0.03243756241260014
bib13506739_18271130_144030_281_0001_alto.xml-15-52	bib19277277_18260930_147682_227_0001_alto.xml-2-8	0.11376530784009926
bib15975090_18961117_148377_143_0004_alto.xml-43-45	bib19227291_18961117_145289_139_0001_alto.xml-16-3	0.0308569418477318
bib15760690_18950202_145050_19_0001_alto.xml-82-31	bib19227462_18950722_147640_167_0004_alto.xml-56-10	0.040507305206322626
bib15761097_18950613_145020_69_0001_alto.xml-3-3	bib19225772_18261229_148004_150_0001_alto.xml-1-39	0.0060054797023792695
bib15761097_18950613_145020_69_0001_alto.xml-3-3	bib19225772_18280827_148004_98_0002_alto.xml-6-55	0.01028744104412779
bib19225758_18950510_144022_108_0003_alto.xml-163-47	bib19227462_18950805_147640_179_0001_alto.xml-4-4	0.05057620179773903
bib11653825_18120319_145134_34_0006_alto.xml-5-14	bib19277277_18260930_147682_227_0001_alto.xml-2-8	0.034629583575338935
bib11653823_18291125_0_274_0002_alto.xml-16-31	bib19227291_18950530_145289_64_0001_alto.xml-26-5	0.010976281510883198
bib11653815_18950110_146944_4_0003_alto.xml-22-12	bib19227291_18950530_145289_64_0001_alto.xml-26-5	0.0271972295650062
bib13506739_18280426_144030_97_0002_alto.xml-9-58	bib19225772_18220719_148004_81_0003_alto.xml-1-40	0.03867316850922457
bib13506739_18280426_144030_97_0002_alto.xml-9-58	bib19225758_18950502_144022_101_0001_alto.xml-70-4	0.026481809123848836
bib11653825_18120319_145134_34_0006_alto.xml-5-14	bib19227291_18300804_145289_31_0004_alto.xml-1-4	0.05500850848648777
bib11653823_18260323_144010_68_0002_alto.xml-18-5	bib19277277_18260930_147682_227_0001_alto.xml-2-8	0.09098480712001139
bib11653806_18070714_145120_75_0007_alto.xml-7-72	bib11653811_18990407_145317_51_0001_alto.xml-14-4	0.03252365172084035
bib19225758_18950502_144022_101_0001_alto.xml-70-4	bib19225772_18130505_148004_50_0002_alto.xml-1-10	0.07493577135824177
bib15975090_18961117_148377_143_0004_alto.xml-43-45	bib19227291_18961022_145289_128_0001_alto.xml-22-5	0.0371705877003108
bib13506739_18280102_144030_1_0001_alto.xml-2-0	bib13506739_18300512_144030_108_0002_alto.xml-7-2	0.033065670073401804
bib11653830_18980714_146968_54_0002_alto.xml-72-11	bib19225772_18210525_148004_60_0003_alto.xml-7-4	0.08699672780027841
bib19225758_18950423_144022_93_0001_alto.xml-77-7	bib19349359_18950618_148383_71_0001_alto.xml-8-5	0.09891606618116983
bib19225758_18950423_144022_93_0001_alto.xml-77-7	bib19277277_18260930_147682_227_0001_alto.xml-2-8	0.0706112720741907
bib11653823_18260323_144010_68_0002_alto.xml-18-5	bib15975087_18950206_145596_21_0001_alto.xml-69-10	0.029823057726063456
bib11653811_18960411_145317_54_0001_alto.xml-49-3	bib11653828_18281027_144028_246_0001_alto.xml-1-26	0.1101005058862973
bib15650837_18951206_146391_285_0004_alto.xml-83-6	bib19227291_18950530_145289_64_0001_alto.xml-26-5	0.04032346657108871
bib11653815_18950110_146944_4_0003_alto.xml-22-12	bib19223423_18280611_145063_47_0003_alto.xml-1-12	0.042065494540747074
bib11653815_18950110_146944_4_0003_alto.xml-22-12	bib15975090_18961208_148377_152_0002_alto.xml-65-10	0.004141455968446907
bib15650837_18950410_146391_84_0003_alto.xml-121-6	bib19227462_18950722_147640_167_0004_alto.xml-56-10	0.07725894988402739
bib19225792_18230712_147359_27_0002_alto.xml-0-8	bib19227291_18950530_145289_64_0001_alto.xml-26-5	0.05200864168517087
bib11653811_18990203_145317_18_0001_alto.xml-7-25	bib11653823_18270501_144010_100_0002_alto.xml-2-20	0.03534053771909532
bib11653815_18950110_146944_4_0003_alto.xml-22-12	bib15650814_18950627_146365_147_0003_alto.xml-80-10	0.031004281991865293
bib11653823_18260323_144010_68_0002_alto.xml-18-5	bib19225758_18950815_144022_188_0001_alto.xml-52-4	0.03919584472070545
bib15760690_18950202_145050_19_0001_alto.xml-82-31	bib15873371_18950308_145112_66_0001_alto.xml-68-7	0.058244321226742966
bib15975090_18960303_148377_28_0002_alto.xml-123-2	bib19227462_18950722_147640_167_0004_alto.xml-56-10	0.07348612894853014
bib15760690_18950202_145050_19_0001_alto.xml-82-31	bib19277277_18260930_147682_227_0001_alto.xml-2-8	0.06755994668921282
bib11653790_18950816_145648_34_0001_alto.xml-77-8	bib11653825_18120319_145134_34_0006_alto.xml-5-14	0.11047358191957936
bib19227291_18950312_145289_30_0001_alto.xml-9-3	bib19520388_18100620_147487_25_0003_alto.xml-1-3	0.0499148479382383
bib19227291_18950530_145289_64_0001_alto.xml-26-5	bib19277277_18260930_147682_227_0001_alto.xml-2-8	0.07455915741504957
bib11653823_18300322_144010_67_0003_alto.xml-45-83	bib19225772_18130505_148004_50_0002_alto.xml-1-10	0.07306186141936759
bib11653823_18300322_144010_67_0003_alto.xml-45-83	bib19225792_18261104_147359_42_0002_alto.xml-3-32	0.06780628199037012
bib11653806_18091017_145120_122_0004_alto.xml-3-48	bib15760690_18950202_145050_19_0001_alto.xml-82-31	0.02899035511074985
bib13506739_18100409_144030_83_0001_alto.xml-2-5	bib15650837_18220522_146391_41_0004_alto.xml-6-4	0.040546919754872485
bib11653806_18090130_145120_17_0003_alto.xml-8-10	bib15760600_18951119_146401_137_0001_alto.xml-43-3	0.028413913630934772
bib11653823_18300329_144010_72_0003_alto.xml-32-10	bib15650814_18950627_146365_147_0003_alto.xml-80-10	0.05107576689423948
bib11653806_18090130_145120_17_0003_alto.xml-8-10	bib13506739_18300512_144030_108_0002_alto.xml-7-2	0.005929353505376469
