identifier1	identifier2	prediction
1964-16-30	1979-91-30	0.0025065940097072953
1964-16-30	1978-5-30	0.03436476276131782
1964-16-30	1978-40-30	0.08027521769780452
1964-16-30	1978-4-30	0.07745001678950274
1964-16-30	1977-8-30	0.06676066294781578
1964-19-30	1979-91-30	0.09850560368386256
1964-16-30	1971-36-30	0.011218264237721959
1964-16-30	1970-1-30	0.01772881512075723
1964-19-30	1971-36-30	0.09128165350117848
1964-19-30	1970-1-30	0.1321435841014303
1963-33-30	1987-78-30	0.08142452247517683
1964-19-30	1977-8-30	0.11972959066609679
1964-16-30	1982-67-30	0.028308152312903078
1964-16-30	1983-66-30	0.020260745245511386
1964-16-30	1986-73-30	0.040553566877413016
1964-16-30	1989-51-30	0.015579255289715736
1964-16-30	1987-60-30	0.016494303257045664
1964-16-30	1987-78-30	0.011846370397239701
1964-16-30	1987-80-30	0.052570030047187334
1964-19-30	1987-60-30	0.08739643338840951
1964-19-30	1978-4-30	0.11190799671712723
1964-19-30	1978-40-30	0.07366770610545159
1964-19-30	1978-5-30	0.11226538417990957
1964-19-30	1986-73-30	0.12108708799572389
1964-19-30	1984-56-30	0.1382965332020473
1964-19-30	1983-66-30	0.09209808045893107
1964-19-30	1982-68-30	0.07248063334512764
1964-19-30	1982-67-30	0.15132341607658978
1964-16-30	1982-68-30	0.0426919500157774
1962-13-30	1979-91-30	0.08913159509835215
1956-24-30	2001-77-30	0.06637639353837628
1964-16-30	1964-19-30	0.07141246167770535
1982-68-30	1994-88-30	0.06560305548890524
1982-68-30	1994-64-30	0.024109070592971425
1982-68-30	1992-84-30	0.031054209389681158
1982-68-30	1992-55-30	0.027928141909202127
1982-68-30	1989-51-30	0.06394113695156993
1982-68-30	1988-62-30	0.08085252500715193
1982-68-30	1987-80-30	0.028177970362772378
1982-68-30	1994-89-30	0.06942198284162013
1982-68-30	1987-78-30	0.03609602578220416
1963-33-30	1982-68-30	0.02150361079325009
1977-8-30	2001-97-30	0.08099103341162937
1977-8-30	2001-77-30	0.07509375931072024
1977-8-30	1998-72-30	0.08501154450213869
1977-8-30	1995-63-30	0.06357143231366234
1977-8-30	1994-89-30	0.0848716666117749
1977-8-30	1994-88-30	0.07886984103719513
1963-33-30	1983-66-30	0.07167956906517652
1964-16-30	1967-15-30	0.07368210686850522
1982-68-30	1995-63-30	0.04098273908829706
1982-68-30	2001-77-30	0.04926544856312423
1963-33-30	1987-60-30	0.046018608942499005
1963-33-30	1986-73-30	0.043112661696368806
1963-33-30	1984-56-30	0.19020210740391308
1956-24-30	2001-97-30	0.034502029766999245
1963-33-30	1987-80-30	0.062080297992190635
1956-24-30	1998-72-30	0.0299213743929193
1956-24-30	1995-63-30	0.08592629349760537
1982-68-30	1998-72-30	0.012570024651484048
1978-4-30	1986-73-30	0.07270215884554329
1978-4-30	1983-66-30	0.09661053562125393
1978-4-30	1982-68-30	0.06747611115456882
1978-4-30	1982-67-30	0.05783858303618076
1978-4-30	1979-91-30	0.10260769921001398
1956-24-30	1994-89-30	0.07339862215848462
1956-24-30	1994-88-30	0.11352557868407451
1982-68-30	2001-97-30	0.03475939070098052
1978-4-30	1984-56-30	0.19324664377519693
1963-33-30	1988-62-30	0.011230565183476163
1964-19-30	1989-51-30	0.11912492773919718
1994-64-30	1994-89-30	0.03588025504282428
1954-22-30	1982-67-30	0.04629848222183884
1954-22-30	1979-91-30	0.06892138285292183
1954-22-30	1978-5-30	0.004166422103988649
1954-22-30	1978-40-30	0.09361739772218686
1954-22-30	1978-4-30	0.07393689921768881
1954-22-30	1977-8-30	0.04168544944200067
1954-22-30	1982-68-30	0.05160491967170687
1954-22-30	1971-36-30	0.05035939765550278
1954-22-30	1967-15-30	0.031117110519333132
1954-22-30	1964-19-30	0.09206696962897902
1954-22-30	1964-16-30	0.049354520829308995
1954-22-30	1963-33-30	0.027893886635163834
1954-22-30	1962-13-30	0.04875199335661455
1954-22-30	1960-42-30	0.02138384648205679
1954-22-30	1970-1-30	0.06239706453773412
1954-22-30	1959-9-30	0.021657607832856557
1954-22-30	1983-66-30	0.08194064330947161
1959-25-30	1959-9-30	0.029349048868111648
1958-17-30	2001-77-30	0.07006464498643872
1958-17-30	1998-72-30	0.04441551955481588
1958-17-30	1995-63-30	0.0771700679580293
1958-17-30	1994-89-30	0.01836893343793237
1958-17-30	1994-64-30	0.06482868633459865
1958-17-30	1992-84-30	0.016764331007435393
1959-25-30	1959-44-30	0.0386170341385158
1958-17-30	1992-55-30	0.03556569881206444
1958-17-30	1988-62-30	0.03476305039188667
1958-17-30	1987-80-30	0.038427608698693085
1958-17-30	1987-60-30	0.06305929828428299
1958-17-30	1986-73-30	0.06039946865978275
1958-17-30	1982-68-30	0.04505103185590371
1959-25-30	1960-42-30	0.03699473874568059
1958-17-30	1989-51-30	0.05822046386587531
1994-64-30	1994-88-30	0.08126595208899909
1954-22-30	1959-44-30	0.05068011983307391
1954-22-30	1959-0-30	0.03186108307189296
1964-19-30	1994-89-30	0.0286396815862324
1964-19-30	1994-88-30	0.1116208340845162
1964-19-30	1994-64-30	0.09882567500202158
1964-19-30	1992-84-30	0.11132530249123149
1977-8-30	1994-64-30	0.04182094648284142
1964-19-30	1988-62-30	0.09968154061231019
1964-19-30	1995-63-30	0.13073485849750527
1964-19-30	1987-80-30	0.13285127701194255
1963-33-30	1992-55-30	0.07462167706314982
1963-33-30	1989-51-30	0.04376200352933454
1994-64-30	2001-97-30	0.06291043456908528
1994-64-30	2001-77-30	0.05707267757249273
1994-64-30	1998-72-30	0.021171731526725322
1994-64-30	1995-63-30	0.11084272521537203
1964-19-30	1987-78-30	0.0876109751130698
1954-22-30	1959-25-30	0.026234100507002308
1964-19-30	1998-72-30	0.04841397083240469
1964-19-30	2001-97-30	0.06863448381269978
1954-22-30	1958-17-30	0.01722037043960692
1954-22-30	1956-24-30	0.032004996701325915
1992-55-30	1994-88-30	0.0315582287591677
1992-55-30	1994-89-30	0.08759232323120097
1992-55-30	1995-63-30	0.03480730546615672
1992-55-30	1998-72-30	0.05181070653864772
1964-19-30	2001-77-30	0.0777536750280967
1963-33-30	2001-97-30	0.04576591646127855
1963-33-30	1998-72-30	0.004342079535790326
1963-33-30	1995-63-30	0.030551829339183822
1963-33-30	1994-89-30	0.06813993805219029
1963-33-30	1994-88-30	0.05285601267703202
1963-33-30	1994-64-30	0.06216725783778611
1963-33-30	1992-84-30	0.02590616368202441
1963-33-30	2001-77-30	0.06662834124527663
1977-8-30	1992-84-30	0.016928682732560072
1982-68-30	1987-60-30	0.03913665534702422
1963-33-30	1982-67-30	0.01618454587994251
1977-8-30	1984-56-30	0.21787064896536742
1977-8-30	1986-73-30	0.07678347004970987
1977-8-30	1987-60-30	0.07361490619203921
1962-13-30	1963-33-30	0.04334253294896877
1962-13-30	1964-16-30	0.04617757792258774
1962-13-30	1964-19-30	0.09657350649962185
1962-13-30	1967-15-30	0.03607722181743521
1962-13-30	1970-1-30	0.09759412936421943
1962-13-30	1971-36-30	0.09952062330327685
1977-8-30	1987-78-30	0.04334030995023059
1977-8-30	1987-80-30	0.05453988014431526
1977-8-30	1988-62-30	0.013903037694662316
1977-8-30	1989-51-30	0.10220333981777824
1962-13-30	1977-8-30	0.03698172591261675
1962-13-30	1994-64-30	0.046718006726248484
1977-8-30	1983-66-30	0.05103250704028342
1962-13-30	1994-88-30	0.06607990695693736
1962-13-30	1994-89-30	0.044675000560221785
1962-13-30	1995-63-30	0.04398948585370301
1971-36-30	1994-64-30	0.08096861314924665
1977-8-30	1978-4-30	0.08451745147716257
1977-8-30	1978-40-30	0.08051578224148537
1977-8-30	1978-5-30	0.05992584792376689
1977-8-30	1979-91-30	0.062388710103993654
1977-8-30	1982-67-30	0.01848395571346651
1977-8-30	1982-68-30	0.06939123037518839
1962-13-30	1992-84-30	0.05224549439670123
1971-36-30	1992-84-30	0.02560019967170773
1962-13-30	2001-77-30	0.05914420135274781
1964-16-30	1994-89-30	0.06912697514696627
1964-16-30	1995-63-30	0.03661700998980426
1964-16-30	1998-72-30	0.04074063187736678
1964-16-30	2001-77-30	0.006355771277220432
1964-16-30	2001-97-30	0.016862086896877806
1962-13-30	1998-72-30	0.029882120378514967
1971-36-30	1992-55-30	0.05128308494497679
1962-13-30	1992-55-30	0.01650289968792363
1962-13-30	1989-51-30	0.0760836636198962
1962-13-30	1988-62-30	0.07773220472301945
1962-13-30	1986-73-30	0.06774497222025773
1962-13-30	1984-56-30	0.14949832785595885
1992-84-30	1994-64-30	0.02478295991021022
1992-84-30	1994-88-30	0.07359361778458885
1992-84-30	1994-89-30	0.0519291423234694
1992-84-30	1995-63-30	0.056731779352482484
1992-84-30	1998-72-30	0.021247247905597674
1962-13-30	1987-60-30	0.08339996217004646
1992-84-30	2001-77-30	0.019408343580568158
1962-13-30	1983-66-30	0.09391327435340077
1992-55-30	1994-64-30	0.07776199053127392
1992-55-30	1992-84-30	0.053944705611414505
1962-13-30	1982-68-30	0.06156553872919463
1962-13-30	1978-4-30	0.08072593624904537
1962-13-30	1978-40-30	0.08988981155606725
