identifier	lemma	context	indices_target_token
fic_1845_7071.txt-62-27	afternoon_nn	In this sentence "You know your wages are high, and my demands upon your time are proportionately so; if, therefore, you can give up your weekly afternoon visit and your visit yearly, and be content to take care of little Johnny and do the work when I am out, always laying the table with one extra plate -- provided husband brings somebody home to dine -- and do the other duties about the house", "afternoon_nn" means in one word :	432:433
fic_1967_10491.txt-4998-1	afternoon_nn	In this sentence "By afternoon he was out of a job; he was also codefendant, with his paper, in a suit for assault and battery.", "afternoon_nn" means in one word :	163:164
fic_1993_25029.txt-3169-3	afternoon_nn	In this sentence "Then came an afternoon road winding high into the Western Ghats, the same road Michael would travel one day years later.", "afternoon_nn" means in one word :	174:175
nf_1985_774130.txt-1657-18	afternoon_nn	In this sentence "Shand's conjecture that tea and alcohol tended to be sex-divided beverages until the salon lured men to afternoon tea may be accurate for the middle classes after the 1660s, but it fails to explain what happened among working people. "", "afternoon_nn" means in one word :	289:290
fic_1981_10676.txt-293-2	afternoon_nn	In this sentence "Remember that afternoon Peb disappeared in the dunes and they ended up searching for Eddem too in the fire truck?", "afternoon_nn" means in one word :	167:168
mag_2005_419574.txt-173-18	afternoon_nn	In this sentence "I've never seen anything like it, " my father said to us all at tea that afternoon. "", "afternoon_nn" means in one word :	139:140
fic_1971_782005.txt-463-14	afternoon_nn	In this sentence "I 'm in the flat on your left and generally free in the late afternoon after the day's work, the later the better. "", "afternoon_nn" means in one word :	170:171
mag_1989_328663.txt-29-10	afternoon_nn	In this sentence "Twenty-one years ago, the Czechs tasted freedom for an afternoon.", "afternoon_nn" means in one word :	119:120
nf_2005_775713.txt-23-7	afternoon_nn	In this sentence "Surely, over the course of the afternoon, that would become clear.", "afternoon_nn" means in one word :	120:121
fic_1994_41339.txt-80-13	afternoon_nn	In this sentence "His adolescent son, a school dropout, gambles on my steps every afternoon.", "afternoon_nn" means in one word :	128:129
nf_2006_776561.txt-30-8	afternoon_nn	In this sentence "Sitting in on a class in the late afternoon, listening to him draw on his experiences from his Stanley days, I imagined that beyond the nineteen young peo- ple seated in the room, he was speaking to all those he knew back home, explaining that he had done as well as any executive could, in a very changed world, to preserve Stanley as it was.", "afternoon_nn" means in one word :	397:398
news_1971_729575.txt-35-24	afternoon_nn	In this sentence "Apollo 15 is scheduled to racket out of lunar orbit Wednesday afternoon and head for earth and a splashdown in the Pacific Ocean Saturday afternoon.", "afternoon_nn" means in one word :	202:203
fic_1987_780057.txt-318-5	afternoon_nn	In this sentence "I'd landed in early afternoon, local time.", "afternoon_nn" means in one word :	96:97
fic_1993_1040092.txt-5145-7	afternoon_nn	In this sentence "At that very moment, the late afternoon sunlight streams through the willow trees like a breeze, lighting up Lucy with colors that come right out of the air, colors that Toshi can't even name.", "afternoon_nn" means in one word :	246:247
mag_2006_383515.txt-66-2	afternoon_nn	In this sentence "In the afternoons, tea and what appeared to be crumpets were set out near a patio.", "afternoon_nn" means in one word :	136:137
fic_1979_780093.txt-1282-7	afternoon_nn	In this sentence "I ain't feeling so good this afternoon, " says the Barber.", "afternoon_nn" means in one word :	112:113
mag_1997_428407.txt-43-45	afternoon_nn	In this sentence "Several scholars, chosen to spend a year doing research at the Getty, complained a few years ago that they were treated too well: tastefully furnished apartments with maid service, catered lunches with excellent wine, servings of tea and cookies every afternoon, no pressure to produce. "", "afternoon_nn" means in one word :	342:343
fic_1970_10525.txt-2314-16	afternoon_nn	In this sentence "|p165ONE LAST TIME we met by chance, Justin and I, on a hot Saturday afternoon of July, when I was on my way up Via Duomo.", "afternoon_nn" means in one word :	176:177
fic_1845_7103.txt-562-47	afternoon_nn	In this sentence "While wondering at the happiness his presence occasioned, and congratulating himself upon his good fortune in getting into such agreeable companionship, a woman came in, and asked in rather an angry tone, why the piece of linen she had purchased there the previous afternoon had not been sent to her house as she had requested.", "afternoon_nn" means in one word :	381:382
fic_1844_7135.txt-185-2	afternoon_nn	In this sentence "But towards afternoon the pirate, having repaired damages, overhauled him for the eighth time, and getting within range began to open his fire.", "afternoon_nn" means in one word :	197:198
nf_1854_750816.txt-2159-41	afternoon_nn	In this sentence "The very foremast men of the Saint Michael had already heard him say things which ought to have been reserved for the ears of his confidential advisers, 170 The voyage was safely and quietly performed; and, on the afternoon of the twelfth of March, James landed in the harbour of Kinsale.", "afternoon_nn" means in one word :	342:343
fic_1855_1273.txt-734-12	afternoon_nn	In this sentence "Accordingly, Lilias and Phyllis set out with Alethea and Marianne one afternoon to Mrs. Eden's cottage, which stood at the edge of a long field at the top of the hill.", "afternoon_nn" means in one word :	221:222
fic_1971_23878.txt-100-32	afternoon_nn	In this sentence "He's got all of you inside the camera box, got all the other broken bodies in there too, and when the battleship New Jersey sailed by on display th afternoon you were hit, he went on deck and go her in -- different lens, same box -- he's got all a Vietnam that floats his way inside the box, Insta matic.Panatomic, special film; there's nothing tha escapes his box.", "afternoon_nn" means in one word :	419:420
