identifier1	identifier2	prediction
old_corpus_spanish-411925-1351	old_corpus_spanish-448796-380	0.046863054890654864
old_corpus_spanish-23288-235	old_corpus_spanish-495517-401	0.06977531330916924
modern_corpus_spanish-572366-365	old_corpus_spanish-354246-657	0.041447229379975026
modern_corpus_spanish-572366-365	modern_corpus_spanish-662606-342	0.14939955474144723
modern_corpus_spanish-662606-342	old_corpus_spanish-94796-673	0.12391940597629511
old_corpus_spanish-448796-380	old_corpus_spanish-78063-539	0.03341326948070256
old_corpus_spanish-17808-437	old_corpus_spanish-478080-357	0.1002317410618147
old_corpus_spanish-17808-437	old_corpus_spanish-447700-231	0.10380119964576534
old_corpus_spanish-17808-437	old_corpus_spanish-41298-162	0.04405816436677928
old_corpus_spanish-17808-437	old_corpus_spanish-312321-337	0.06107480257815947
old_corpus_spanish-17808-437	old_corpus_spanish-260424-689	0.03228978192527846
old_corpus_spanish-17804-364	old_corpus_spanish-447700-231	0.06059965589194289
old_corpus_spanish-448796-380	old_corpus_spanish-94796-673	0.010784315638877663
modern_corpus_spanish-572366-365	modern_corpus_spanish-582280-269	0.02188657779186584
modern_corpus_spanish-662606-342	old_corpus_spanish-41298-162	0.11210296483282864
modern_corpus_spanish-271592-324	old_corpus_spanish-94796-673	0.039822837021547854
old_corpus_spanish-218300-267	old_corpus_spanish-622360-638	0.043447504587320114
modern_corpus_spanish-509352-697	old_corpus_spanish-94796-673	0.10959706252589344
modern_corpus_spanish-509352-697	old_corpus_spanish-260424-689	0.14623260577332292
old_corpus_spanish-218300-267	old_corpus_spanish-478080-357	0.01681932122638698
modern_corpus_spanish-175694-1117	old_corpus_spanish-94796-673	0.07034503407159229
modern_corpus_spanish-175694-1117	old_corpus_spanish-41298-162	0.10338670894845904
modern_corpus_spanish-175694-1117	modern_corpus_spanish-747631-692	0.06618923151333013
modern_corpus_spanish-175694-1117	modern_corpus_spanish-635964-435	0.07448907226534919
modern_corpus_spanish-175694-1117	modern_corpus_spanish-572366-365	0.08021269192383969
modern_corpus_spanish-175694-1117	modern_corpus_spanish-543870-353	0.08003089004401659
modern_corpus_spanish-721345-439	old_corpus_spanish-218300-267	0.05467510016867062
modern_corpus_spanish-565144-541	old_corpus_spanish-478080-357	0.036510172297995636
modern_corpus_spanish-565144-541	old_corpus_spanish-312321-337	0.06152640852320338
modern_corpus_spanish-721345-439	old_corpus_spanish-23288-235	0.07887297951049356
modern_corpus_spanish-150883-663	modern_corpus_spanish-373360-374	0.03451582997552226
modern_corpus_spanish-111884-203	modern_corpus_spanish-543870-353	0.09059024018282594
modern_corpus_spanish-111884-203	modern_corpus_spanish-723052-402	0.09428556325391105
modern_corpus_spanish-111884-203	old_corpus_spanish-135456-287	0.10132729634211579
modern_corpus_spanish-111884-203	old_corpus_spanish-19712-1464	0.04137486127639251
modern_corpus_spanish-111884-203	old_corpus_spanish-411925-1351	0.042163175935631445
old_corpus_spanish-260424-689	old_corpus_spanish-448796-380	0.02195774150718168
modern_corpus_spanish-111884-203	old_corpus_spanish-448796-380	0.07060781316932169
modern_corpus_spanish-150883-663	modern_corpus_spanish-640927-233	0.024605870545827913
modern_corpus_spanish-150883-663	modern_corpus_spanish-723052-402	0.09314564720543589
modern_corpus_spanish-150883-663	old_corpus_spanish-94796-673	0.0611284874717299
old_corpus_spanish-19712-1464	old_corpus_spanish-314696-1167	0.09623031864314263
modern_corpus_spanish-635964-435	old_corpus_spanish-78063-539	0.045786501774194584
old_corpus_spanish-19712-1464	old_corpus_spanish-78063-539	0.056115774983776553
modern_corpus_spanish-640927-233	old_corpus_spanish-41298-162	0.041205356198896106
old_corpus_spanish-354246-657	old_corpus_spanish-41298-162	0.0406900043780856
old_corpus_spanish-354246-657	old_corpus_spanish-94796-673	0.03830866112017505
modern_corpus_spanish-565144-541	modern_corpus_spanish-582280-269	0.03405807416478545
modern_corpus_spanish-565144-541	modern_corpus_spanish-747631-692	0.07160671943419755
modern_corpus_spanish-523857-151	old_corpus_spanish-17804-364	0.15613159975411225
modern_corpus_spanish-565144-541	old_corpus_spanish-300504-861	0.05407548119407697
modern_corpus_spanish-523857-151	modern_corpus_spanish-572366-365	0.14020775235533495
modern_corpus_spanish-523857-151	modern_corpus_spanish-565144-541	0.06819771579062879
modern_corpus_spanish-572366-365	old_corpus_spanish-447700-231	0.04855644586347923
modern_corpus_spanish-723052-402	old_corpus_spanish-495517-401	0.038105331779593375
modern_corpus_spanish-721345-439	old_corpus_spanish-448796-380	0.055342571776365326
modern_corpus_spanish-747631-692	old_corpus_spanish-411925-1351	0.01780044889078998
modern_corpus_spanish-635964-435	old_corpus_spanish-495517-401	0.015238657605596924
modern_corpus_spanish-175694-1117	old_corpus_spanish-354246-657	0.057204606493410075
modern_corpus_spanish-175694-1117	modern_corpus_spanish-373360-374	0.10874810910868245
modern_corpus_spanish-543870-353	old_corpus_spanish-41298-162	0.0543828350871411
modern_corpus_spanish-586931-425	old_corpus_spanish-411925-1351	0.11887278600460328
modern_corpus_spanish-586931-425	old_corpus_spanish-260424-689	0.14701073736754314
modern_corpus_spanish-586931-425	old_corpus_spanish-19712-1464	0.10817766618489558
modern_corpus_spanish-634204-502	modern_corpus_spanish-635964-435	0.09362755828865113
modern_corpus_spanish-625920-441	modern_corpus_spanish-662606-342	0.13578143056630612
modern_corpus_spanish-373360-374	modern_corpus_spanish-523857-151	0.1432246570905675
modern_corpus_spanish-373360-374	old_corpus_spanish-19712-1464	0.1148032683042581
old_corpus_spanish-135456-287	old_corpus_spanish-300504-861	0.0787576287443082
old_corpus_spanish-135456-287	old_corpus_spanish-354246-657	0.05935502359295741
old_corpus_spanish-135456-287	old_corpus_spanish-411925-1351	0.03942200437104071
old_corpus_spanish-135456-287	old_corpus_spanish-478080-357	0.010359447717361372
old_corpus_spanish-135456-287	old_corpus_spanish-495517-401	0.06295845644989398
modern_corpus_spanish-373360-374	old_corpus_spanish-314696-1167	0.05642000954532566
modern_corpus_spanish-373360-374	old_corpus_spanish-447700-231	0.04160266944915817
modern_corpus_spanish-373360-374	old_corpus_spanish-478080-357	0.07909051491593493
modern_corpus_spanish-373360-374	old_corpus_spanish-94796-673	0.02869333218529528
modern_corpus_spanish-586931-425	modern_corpus_spanish-625920-441	0.1611094087390611
modern_corpus_spanish-543870-353	old_corpus_spanish-300504-861	0.057367760645668495
modern_corpus_spanish-543870-353	modern_corpus_spanish-565144-541	0.08267698714859396
old_corpus_spanish-314696-1167	old_corpus_spanish-447700-231	0.07050706017540188
old_corpus_spanish-314696-1167	old_corpus_spanish-94796-673	0.0349337785868342
modern_corpus_spanish-582280-269	modern_corpus_spanish-721345-439	0.043270393620378454
modern_corpus_spanish-582280-269	old_corpus_spanish-300504-861	0.04581202076032579
modern_corpus_spanish-582280-269	old_corpus_spanish-448796-380	0.02732501512103217
modern_corpus_spanish-625920-441	old_corpus_spanish-314696-1167	0.037984847596755036
modern_corpus_spanish-625920-441	old_corpus_spanish-354246-657	0.046124359449567186
old_corpus_spanish-314696-1167	old_corpus_spanish-354246-657	0.030327248520000783
modern_corpus_spanish-271592-324	old_corpus_spanish-78063-539	0.04116248166801504
modern_corpus_spanish-625920-441	old_corpus_spanish-478080-357	0.08709383294187746
modern_corpus_spanish-271592-324	modern_corpus_spanish-635964-435	0.06090496371847166
modern_corpus_spanish-271592-324	modern_corpus_spanish-565144-541	0.03949102925323058
modern_corpus_spanish-271592-324	modern_corpus_spanish-721345-439	0.05166966155450892
modern_corpus_spanish-271592-324	old_corpus_spanish-312321-337	0.03720159866108509
modern_corpus_spanish-271592-324	modern_corpus_spanish-523857-151	0.14855463623666518
modern_corpus_spanish-662606-342	old_corpus_spanish-300504-861	0.10693777799037915
modern_corpus_spanish-271592-324	old_corpus_spanish-41298-162	0.01335976109397429
modern_corpus_spanish-271592-324	old_corpus_spanish-478080-357	0.06624581548790955
modern_corpus_spanish-271592-324	modern_corpus_spanish-586931-425	0.17168009284730715
modern_corpus_spanish-271592-324	modern_corpus_spanish-582280-269	0.04865255914871256
