identifier	lemma	context	indices_target_token
1970-2015_anfektelse_5	anfektelse	In this sentence "Dernest hadde Løvenskiold anfektelser på grunn av klausuler om forbud blant annet mot fotballbane inntatt i kontraktene med de som hadde kjøpt tomtene.", "anfektelse" means in one word :	203:204
1970-2015_anfektelse_16	anfektelse	In this sentence "Trøst dem i all nød og anfektelse med din Hellige Ånds trøst, og hjelp dem å våke og be og flittig bruke ditt ord og den hellige nattverd, så at de i Andens samfunn med alle dine troende må elske deg, og i ord og gjerning bekjenne deg, Fader, Sønn og Hellige Ånd, som var og er og blir én sann Gud fra evighet og til evighet! Amen. Fader vår. Velsignelsen.", "anfektelse" means in one word :	408:409
1929-1965_anfektelse_33	anfektelse	In this sentence "Sådanne gudsbespottelser, som djevelen voldsomt fremtvinger av mennesker mot deres vilje, kan endog undertiden klinge kjaert i Guds øre, som et halleluja og en jubelsang. Ti jo slemmere gudsbespottelsen er, desto kjaerere er den Gud, vel å merke når hjertet føler at det ikke vil denne bespottelse, men er i stor angst over å ha begått den. Ti en sådan pavor mali er et tydelig tegn på dette menneskes gode hjerte. 1 ) Men nettop med disse anfektelser for øie advarer Luther mot overhodet å beskjeftige sig med predestinasjonslaeren.", "anfektelse" means in one word :	585:586
1929-1965_anfektelse_51	anfektelse	In this sentence "A.t personligheten bevarer sin enhet tross anfektelser betegnes som eller rennet.", "anfektelse" means in one word :	133:134
1970-2015_anfektelse_17	anfektelse	In this sentence "Trøst dem i all nød og anfektelse med din Hellige Ånds trøst, og hjelp dem å våke og be og flittig bruke ditt ord og den hellige nattverd, så at de i Andens samfunn med alle dine troende må elske deg og i ord og gjerning bekjenne deg, Fader, Sønn og Hellige And, som var og er og blir én sann Gud fra evighet og til evighet. Amen. Fader vår. Velsignelsen.", "anfektelse" means in one word :	407:408
1970-2015_anfektelse_2	anfektelse	In this sentence "Menneskelivet og kristenlivet I — V Kveldsbønn VI Ved årsskiftet VII I tvil og anfektelse VIII— XII Under sykdom XIII— XV Ved helbredelse XVI Ved livets kveld XVII— XXII I sorg XXIII— XXIV DISPOSISJON", "anfektelse" means in one word :	252:253
1929-1965_anfektelse_43	anfektelse	In this sentence "Men mere allsidig er sjelesorgen i Ps 11, idet Luther her både gir de utførlige advarsler mot predest.anfektelsen som djevelens verk og mot de dermed følgende synder, og tillike på en ennu mere fremtredende måte enn i R stiller Kristus inn i anfektelsen og viser hen til hans seier som en seier også for oss. Forskjellig fra R er Ps II enn videre også derved, at mens i R saerlig kjaerligheten representerer den restløse hengivelse i Guds vilje, rykker i Ps II troen i forgrunnen som den makt hvorved seieren vinnes, idet sjelen kjemper med tro mot tro og fastholder tilliten til Guds rettferdighet også når han fordømmer.", "anfektelse" means in one word :	674:675
1970-2015_anfektelse_6	anfektelse	In this sentence "Men utløpet av 10 rsfristen har ingen betydning for anfektelse av rettsforlikets gyldighet basert på at det har blitt kvalifisert urimelig på grunn av etterfølgende utvikling mv. En part vil dermed kunne anlegge søksmål med påstand om at forliket er ugyldig etter avtaleloven § 36 også etter at det har gått 10 år fra forliket ble inngått. Kapittel 8 Rett på sak Kapittel 8 Behandlingen i forliksrådet 8.1 Generelt om kapittel 8 I kapittel 8 er reglene om saksbehandlingen i forliksrådet samlet.", "anfektelse" means in one word :	547:548
1970-2015_anfektelse_11	anfektelse	In this sentence "Og selv ikke kommunene later til å ha noen saerlige anfektelser i forhold til at fylkesmannen besitter slike våpen.", "anfektelse" means in one word :	167:168
1929-1965_anfektelse_10	anfektelse	In this sentence "— Gamle venn, Gud gi dig seierrikt å kjempe dig igjennem dine anfektelser i Jesu navn. Min tro og trøst, mitt håp og bønn, o Herre, du formere!", "anfektelse" means in one word :	195:196
1970-2015_anfektelse_9	anfektelse	In this sentence "Da NATO-vedtaket først var fattet, fulgte avisene lojalt opp - selv de som hadde gått imot, forsvarte alliansetilknytningen. «Sentralledelsens ønske om å stanse Ytringsfrihetskommisjonen Kapittel 7 Ensretting i film og radio streife kritisk innom Koreakrigen, eller hinte ufordelaktig om amerikanernes general MacArthur, i sine kåserier. Derimot kom programledelsen i anfektelser da den i desember 1950 mottok manuskriptet til Karl Evangs foredrag «Skjebnesvanger forenkling».", "anfektelse" means in one word :	528:529
1929-1965_anfektelse_56	anfektelse	In this sentence "Diktet viser hans tvil og samvittighetsnag, som også brer sig ut blandt hans menn og symboliserer sig i «vita frun» som går igjen. Efter store anfektelser kommer han til slutt ved sønnens hjelp til det resultat at det er for folkets egen skyld han har rettet det blodige slag mot adelen.", "anfektelse" means in one word :	339:340
1970-2015_anfektelse_0	anfektelse	In this sentence "573 F LR N (Samisk) (Sang- (Utkast Salmer boken) 68) 1973 Takk og tilbedelse Bønn og forbønn Norsk Salmebok Tvil og anfektelse Troens strid og seier Trengsel og trøst Misjon V LIVET", "anfektelse" means in one word :	233:234
1929-1965_anfektelse_11	anfektelse	In this sentence "Han hørte vel ikke til de prester som hadde altfor farlige anfektelser og vel ikke til d6 diktere som holdt altfor mange dommedager over sig selv.", "anfektelse" means in one word :	198:199
1970-2015_anfektelse_3	anfektelse	In this sentence "Tvil og moralsk anfektelse kom til uttrykk på medlemsmøtet 7. august 1929 der Magga ble ansatt.", "anfektelse" means in one word :	147:148
1929-1965_anfektelse_31	anfektelse	In this sentence "De fortviler nemlig over sig selv, og Guds ord gjør sin gjerning i dem og virker beven for Gud (pavorem Dei). 1 ) Den allerede i Ps I betonte selvfortvilelse fremhever Luther nu i R som den rette og gode frukt av predest.laeren. Herrens ord i Rom. 9, 15 er, sier Luther, et hårdt svar for de hovmodige og kloke, men søtt og kjaert for de saktmodige og ydmyke, fordi disse fortviler over sig selv. Derfor tar Gud sig av dem. 2 ) Hvis da nogen er altfor engstelig for at han ikke er utvalgt, eller han kommer i anfektelse m. h. t. sin egen utvelgelse (tentatur de electione sui), så skal han takke for sådan angst og glede sig over den, da han med tillit er forvisset om at Gud ikke kan lyve, som uttaler ordene i Ps. 51, 19. Følgelig skal han freidig (audacter) styrte sig inn i den forjettende Guds sannhet, og vende sig fra den skremmende Guds forutviden; da vil han vaere salig og utvalgt. 8 ) På tilsvarende måte hevder Luther, at de som forherdes overfor Guds ord (ad verbum Dei indurantur) og er selvsikre, dermed har et meget dårlig tegn (pessimum signum habent). 4 ) Her er ifølge Luther en avgjort forskjell mellem de forkastede og de utvalgte.", "anfektelse" means in one word :	1204:1205
1929-1965_anfektelse_48	anfektelse	In this sentence "Under alle disse anfektelser stod fruens høye person i uavbrutt travelhet bøyd som en kran over kassen med byvarene, som var løftet inn på kjøkkengulvet. Dunker, vidjekurver med høy i, småsekker og en uendelighet av pakker i grått omslag ombundet med hyssing, små og store, forsvant efterhånden i deres forskjellige oppbevaringssteder, like til den siste, sekken med det fine hvetemel, som ble båret inn av Stor-Ola og satt hen for seg i melkassen inne i spiskammeret.", "anfektelse" means in one word :	520:521
1929-1965_anfektelse_17	anfektelse	In this sentence "Saerlig er det vel derved etter v. 12 å tenke på folk som preker falsk frihet fra loven (sml. 2 Tim. 3, 1 fig.; 2 Pet. 2, 1 fig). Således vil (v. 12) «urettferdigheten» (sml. til 7, 23) ta overhand i menigheten, og følgen derav blir da at kristenlivet ødelegges hos de kristnes store flerhet, idet kjaerligheten blir kold. Jesus forutsier altså her en stadig tiltagende utartning innen menigheten, som selvfølgelig også, liksom hatet og forfølgelsen utenfra, vil medføre anfektelse og fristelse for alle sanne disipler.", "anfektelse" means in one word :	571:572
1970-2015_anfektelse_15	anfektelse	In this sentence "Det er saerlig knyttet anfektelser til spørsmål om hvordan elever fra minoritetsgrupper skal få mulighet til å bygge sin egen identitet i det nye faget. Saerlig gjelder dette de yngste elevene.", "anfektelse" means in one word :	245:246
1929-1965_anfektelse_30	anfektelse	In this sentence "Det er for å ydmyke de utvalgte og laere dem å sette all sin lit til hans barmhjertighet alene og opgi all stolen på egen vilje og egne gjerninger, at Gud lar dem komme i fortvilelse og anfektelse og bli forfulgt av djevelen, verden og kjødet, idet han selv setter disse i bevegelse (quos excitat). 8 ) Derfor opvekker Gud endog ofte «og saerlig i vår tid» (et precipue nostro tempore) djevelen til å styrte de utvalgte i forferdelige synder (horrenda peccata) og en tidlang ha herredømme over dem. Og allikevel fører han dem gjennem alt dette og befrir dem til slutt imot deres forventning, mens de selv som fortvilede sukker over sin ondskap og sin mangel på vilje til det gode. 4 ) Således vil da ordene om Faraos forherligelse vise, at frelsen beror på Guds forbarmelse og ikke på menneskets vilje (quod solius", "anfektelse" means in one word :	866:867
1929-1965_anfektelse_32	anfektelse	In this sentence "Så kunde han ut av egen erfaring tale om disse anfektelser og om veier og midler til å seire over dem. Det spørsmål som på dette område aller mest pinte Luthers sjel, og som atter og atter måtte melde sig, var det allerede foran berørte om ens egen personlige predestinasjon, hvorvidt man selv er med blandt de utvalgtes tall eller ikke. M. h. t. dette spørsmål viser Luther hen til Paulus, som ved en åpenbaring var blitt forvisset om å vaere et vas electionis. 7 ) Nu er også vi alle, hevder Luther, forvisset om at der er dem som er utvalgt (de electis et nos omnes certi sumus).", "anfektelse" means in one word :	634:635
1970-2015_anfektelse_4	anfektelse	In this sentence "Slike penger er antakelig enda skjevere fordelt sosialt enn legal inntekt og formue. Dernest, hvis selgeren har visse moralske anfektelser og ikke vil ta den høyest mulige overpris, så er straks muligheten til stede for at han selger til en spekulant som vil videreselge leiligheten med gevinst.", "anfektelse" means in one word :	347:348
2012-2019_bank_15299	bank	In this sentence "Noen av bankens ansatte som jobber blant kunder bruker uniformer, men de har ingen krav til frisyrer eller høyder på skohaelene.", "bank" means in one word :	174:175
1980-1990_bank_4063	bank	In this sentence "Det kan også gjøre det lettere for finske banker å etablere seg i visse land, dersom dette er aktuelt. 3.5.3. Tilsyns- og kontrollforhold", "bank" means in one word :	183:184
2012-2019_bank_38048	bank	In this sentence "Foto: (Foto: Gorm K. Gaare) Norges største bank DNB legger frem et resultat før skatt i fjerde kvartal på 6,82 milliarder kroner.", "bank" means in one word :	175:176
1980-1990_bank_4748	bank	In this sentence "Bankforemngen har foreslått at utenlandsandelen for banker bør justeres opp på linje med utenlandsandelen for industriselskaper.", "bank" means in one word :	174:175
1980-1990_bank_4351	bank	In this sentence "Lånet skulle tilbakebetales til samvirkelagets konto i Bøndernes Bank, Trondheim, etter hvert som eggene ble solgt. Etter et brev fra avholdsorganisasjonene i bygda, vedtok styret med 3 mot 2 stemmer å si opp kontrakten med A/S Vinmonopolet om tomflaskesentralen og avvikle denne virksomheten.", "bank" means in one word :	339:340
1980-1990_bank_206	bank	In this sentence "De någjeldende regler for avsetninger og disponering av Norges Banks overskudd er fastsatt ved kgl res 7 februar 1986 med hjemmel i sentralbankloven 1985 § 28. Reglene har følgende ordlyd: - «1. Av Norges Banks overskudd avsettes til Kursreguleringsfondet inntil dette har nådd 20 pst. av bankens valutareserver, andre fordringer på utlandet, yalutainnskudd i norske banker, valuta kjøpt på levering, norske ihendehaverobligasjoner og eventuelle andre engasjementer som av Hovedstyret vurderes å ha ikke übetydelig kursrisiko.", "bank" means in one word :	572:573
2012-2019_bank_6859	bank	In this sentence "Rapporten som er ventet torsdag, blir gjennomført av konsulentene Roland Berger fra Tyskland og Olivier Wyman fra USA. Den skal vurdere hvor mye kapital bankene trenger, melder AFP.", "bank" means in one word :	227:228
2012-2019_bank_4769	bank	In this sentence "Slik skal bankene vite hvem som ikke betaler for seg og nekte disse nye lån. - Alle har et personlig ansvar for økonomien sin, men dette er hjelp til selvhjelp.", "bank" means in one word :	206:207
2012-2019_bank_21123	bank	In this sentence "Reell frykt for «grexit» ga bank run. Siden ESB bare opprettholder sin nødhjelp med penger til greske banker, ikke øker den, ble bankene stengt og minibankuttaksgrenser innført. Samfunnet er i ferd med å kollapse.", "bank" means in one word :	259:260
1980-1990_bank_4829	bank	In this sentence "Det bestemmes i fjerde punktum at en kjøpesum som er innbetalt, skal plasseres i offentlig godkjent bank til den kan utbetales. Det stemmer med tvfbl § 58 at namsmyndigheten som mottar penger i forvaring, skal sette beløpet i bank.", "bank" means in one word :	277:278
2012-2019_bank_24575	bank	In this sentence "(FA side 10) DRYPPER ARBEID PÅ NORSK TITANIUM Alcoas gigantkontrakt med Airbus kan gi oppdrag til Norsk Titanium, der Scatec Solar har en eierandel på 30 prosent. -Vi ser for oss et strategisk samarbeid med Alcoa fremover, sier styreleder John Andersen. (FA side 12) KAN FÅ UTFORDRINGER MED PRISINGEN Utlendingers mistanke om norsk boligboble kombinert med oljeprisfall kommer i tillegg til lav prising av norske banker på børs.", "bank" means in one word :	474:475
1980-1990_bank_3668	bank	In this sentence "I notatene er til dels brukt forkortelser for personbetegnelser. «Haa» står for Haave seiv, «VSJ» er skatterevisor Vidar Sti Johannesen, «EAG» er avdelingssjef Gunneng i Norges Bank, «Nygaard» er byråsjef Nygaard i Handelsdepartementet, «KEF» er underdirektør Forsund i Skattedirektoratet, «KS» direktør Knud Søyland i Skattedirkektoratet. «SBS» er direktør Sverre B. Skottun i Skattedirektoratet, «F-P» er byråsjef Friis-Petersen i Finansdepartementet, «E» er finansråd Erichsen i Finansdepartementet, «B.H» er regjeringsadvokat Bjørn Haug, «P.S» er kontorsjef Per Steina i Norges Bank, «FW» er underdirektør Wilberg i Skattedirektoratet, «F» og «Fl» er davaerende statsadvokat Flornes, «D» riksadvokat", "bank" means in one word :	749:750
1980-1990_bank_3391	bank	In this sentence "Hvis denne myndighet legges til Stortinget, vil representantskapet fremdeles kunne vaere bankens øverste organ i budsjettspørsmål, som bl.a. avgir budsjettforslag og foretar naermere fordeling innenfor rammen av Stortingets vedtak.", "bank" means in one word :	277:278
1980-1990_bank_3022	bank	In this sentence "I etterkrigstiden har bankens utlån til naeringslivet vesentlig vaert begrenset til kreditter til fiskerinaeringen i Nord-Norge. Lånene er rene driftskreditter i form av kassekreditt til vedkommende bedrift.", "bank" means in one word :	253:254
2012-2019_bank_38450	bank	In this sentence "For øvrig har banken innsett at Norge ikke er isolert.", "bank" means in one word :	100:101
2012-2019_bank_27137	bank	In this sentence "Svakere fra Sparebank 1 SMN Konsernsjef Finn Haugan i Sparebank 1 SMN. Foto: Ole Morten Melgård. Sparebanken 1 SMN fikk et resultat før skatt på 567 millioner kroner i første kvartal 2015, mot 597 millioner kroner i samme periode året før. Det opplyser banken i kvartalsrapporten fredag. Netto renteinntekter utgjorde 467 millioner kroner (412), mens netto provisjons- og andre driftsinntekter ble 377 millioner kroner (385). Tap på utlån og garantier var 22 millioner kroner i kvartalet (17). Målet om ren kjernekapital i 2016 på 13,5 prosent vil bli oppnådd med tilbakeholdt overskudd og moderat vekst, skriver banken.", "bank" means in one word :	666:667
2012-2019_bank_1536	bank	In this sentence "- Vi ser nå at bankene velger å plassere pengene i sentralbanken eller i sikre statspapirer for at man skal ha tilgang til likdivitet, sier Mork.", "bank" means in one word :	191:192
