identifier1	identifier2	prediction
1700-1916_авторитет_678-14	1918-1990_авторитет_679-14	0.04100737376310773
1918-1990_авторитет_686-15	1992-2016_авторитет_687-15	0.10452980007292362
1918-1990_авторитет_684-15	1992-2016_авторитет_685-15	0.09946166107606447
1918-1990_авторитет_682-15	1992-2016_авторитет_683-15	0.10753073411879202
1918-1990_авторитет_680-15	1992-2016_авторитет_681-15	0.058686329720579966
1918-1990_авторитет_678-15	1992-2016_авторитет_679-15	0.02699909705457224
1918-1990_авторитет_734-15	1992-2016_авторитет_735-15	0.03274356316614142
1700-1916_авторитет_736-16	1992-2016_авторитет_737-16	0.10784612423829183
1700-1916_авторитет_736-14	1918-1990_авторитет_737-14	0.10734021568157685
1700-1916_авторитет_734-16	1992-2016_авторитет_735-16	0.0729197033052508
1700-1916_авторитет_734-14	1918-1990_авторитет_735-14	0.13656292130687905
1700-1916_авторитет_732-16	1992-2016_авторитет_733-16	0.1021152659533904
1700-1916_авторитет_732-16	1918-1990_авторитет_687-14	0.07427305649056262
1700-1916_авторитет_732-14	1918-1990_авторитет_733-14	0.11496586483471631
1700-1916_авторитет_730-16	1992-2016_авторитет_731-16	0.12858449062756824
1700-1916_авторитет_730-14	1918-1990_авторитет_731-14	0.045521605562254305
1700-1916_авторитет_728-16	1992-2016_авторитет_729-16	0.07593433241340564
1700-1916_авторитет_728-14	1918-1990_авторитет_729-14	0.0614798350506238
1700-1916_авторитет_726-16	1992-2016_авторитет_727-16	0.09569590975755542
1700-1916_авторитет_726-14	1918-1990_авторитет_727-14	0.0257225468306631
1918-1990_авторитет_688-15	1992-2016_авторитет_689-15	0.08607632564714185
1700-1916_авторитет_724-16	1992-2016_авторитет_725-16	0.017736099546812427
1918-1990_авторитет_690-15	1992-2016_авторитет_691-15	0.08586260729198089
1918-1990_авторитет_694-15	1992-2016_авторитет_695-15	0.025488018745123606
1918-1990_авторитет_732-15	1992-2016_авторитет_733-15	0.054945537426044876
1918-1990_авторитет_730-15	1992-2016_авторитет_731-15	0.03062744509876582
1918-1990_авторитет_728-15	1992-2016_авторитет_729-15	0.10905085452568758
1918-1990_авторитет_726-15	1992-2016_авторитет_727-15	0.10019189531682614
1918-1990_авторитет_724-15	1992-2016_авторитет_725-15	0.0645922046694651
1918-1990_авторитет_722-15	1992-2016_авторитет_723-15	0.014269127963846086
1918-1990_авторитет_720-15	1992-2016_авторитет_721-15	0.05204304255450941
1918-1990_авторитет_718-15	1992-2016_авторитет_719-15	0.16424677128789827
1918-1990_авторитет_716-15	1992-2016_авторитет_717-15	0.07534479926433063
1918-1990_авторитет_714-15	1992-2016_авторитет_715-15	0.0627727527055036
1918-1990_авторитет_712-15	1992-2016_авторитет_713-15	0.012207132333595579
1918-1990_авторитет_710-15	1992-2016_авторитет_711-15	0.08650298954050349
1918-1990_авторитет_708-15	1992-2016_авторитет_709-15	0.0753995102879816
1918-1990_авторитет_706-15	1992-2016_авторитет_707-15	0.095896863826217
1918-1990_авторитет_704-15	1992-2016_авторитет_705-15	0.07919659668000895
1918-1990_авторитет_702-15	1992-2016_авторитет_703-15	0.10168029372399326
1918-1990_авторитет_700-15	1992-2016_авторитет_701-15	0.08445209021686449
1918-1990_авторитет_698-15	1992-2016_авторитет_699-15	0.08030754399357307
1918-1990_авторитет_696-15	1992-2016_авторитет_697-15	0.054516719444825466
1918-1990_авторитет_692-15	1992-2016_авторитет_693-15	0.043795604928771555
1700-1916_авторитет_724-14	1918-1990_авторитет_725-14	0.05287240460814263
1918-1990_авторитет_736-15	1992-2016_авторитет_737-15	0.09513930422253014
1700-1916_авторитет_722-14	1918-1990_авторитет_723-14	0.07532382545133263
1700-1916_авторитет_690-14	1918-1990_авторитет_691-14	0.10286022936183928
1700-1916_авторитет_690-16	1992-2016_авторитет_691-16	0.10102771197835297
1700-1916_авторитет_692-14	1918-1990_авторитет_693-14	0.02125233965759089
1700-1916_авторитет_708-14	1918-1990_авторитет_709-14	0.029143637919849745
1700-1916_авторитет_694-14	1918-1990_авторитет_695-14	0.05662490914802013
1700-1916_авторитет_694-16	1992-2016_авторитет_695-16	0.13596478560391256
1700-1916_авторитет_696-14	1918-1990_авторитет_697-14	0.06509786901948825
1700-1916_авторитет_696-16	1992-2016_авторитет_697-16	0.1567654058942851
1700-1916_авторитет_698-14	1918-1990_авторитет_699-14	0.03288613486594747
1700-1916_авторитет_698-16	1992-2016_авторитет_699-16	0.11321983501184828
1700-1916_авторитет_700-14	1918-1990_авторитет_701-14	0.15107453221918907
1700-1916_авторитет_700-16	1992-2016_авторитет_701-16	0.06686081149008223
1700-1916_авторитет_702-14	1918-1990_авторитет_703-14	0.06137547412470305
1700-1916_авторитет_702-16	1992-2016_авторитет_703-16	0.1515935660136335
1700-1916_авторитет_704-14	1918-1990_авторитет_705-14	0.07411411456789246
1700-1916_авторитет_704-16	1992-2016_авторитет_705-16	0.09832523585117849
1700-1916_авторитет_706-14	1918-1990_авторитет_707-14	0.056652836598797884
1700-1916_авторитет_706-16	1992-2016_авторитет_707-16	0.08833806412754633
1700-1916_авторитет_722-16	1992-2016_авторитет_723-16	0.12802289890186772
1700-1916_авторитет_688-16	1992-2016_авторитет_689-16	0.05104928563221634
1700-1916_авторитет_688-14	1918-1990_авторитет_689-14	0.0741749688932899
1700-1916_авторитет_692-16	1992-2016_авторитет_693-16	0.038158981544923795
1700-1916_авторитет_684-16	1992-2016_авторитет_685-16	0.040657291372350496
1700-1916_авторитет_720-16	1992-2016_авторитет_721-16	0.045447138584876444
1700-1916_авторитет_720-14	1918-1990_авторитет_721-14	0.09061928947694199
1700-1916_авторитет_718-16	1992-2016_авторитет_719-16	0.0664529846938144
1700-1916_авторитет_686-16	1992-2016_авторитет_687-16	0.13200689707380614
1700-1916_авторитет_716-16	1992-2016_авторитет_717-16	0.03446299169486181
1700-1916_авторитет_716-14	1918-1990_авторитет_717-14	0.1685616282065016
1700-1916_авторитет_714-16	1992-2016_авторитет_715-16	0.026219708137349258
1700-1916_авторитет_714-14	1918-1990_авторитет_715-14	0.17676310964398242
1700-1916_авторитет_712-16	1992-2016_авторитет_713-16	0.10686163721309229
1700-1916_авторитет_712-14	1918-1990_авторитет_713-14	0.1402157183553136
1700-1916_авторитет_718-14	1918-1990_авторитет_719-14	0.09954835515647077
1700-1916_авторитет_710-14	1918-1990_авторитет_711-14	0.06005260533603048
1700-1916_авторитет_708-16	1992-2016_авторитет_709-16	0.043279405285579164
1700-1916_авторитет_678-16	1918-1990_авторитет_683-14	0.08034813585823403
1700-1916_авторитет_678-16	1992-2016_авторитет_679-16	0.11576611185555738
1700-1916_авторитет_680-14	1918-1990_авторитет_681-14	0.009358043159996894
1700-1916_авторитет_680-16	1992-2016_авторитет_681-16	0.0705606887027641
1700-1916_авторитет_682-16	1992-2016_авторитет_683-16	0.0726636209524705
1700-1916_авторитет_710-16	1992-2016_авторитет_711-16	0.0641635654027353
1700-1916_авторитет_684-14	1918-1990_авторитет_685-14	0.06450639652475969
агентство-118-12	агентство-119-12	0.11036487359900307
агентство-116-12	агентство-117-12	0.05224375115157097
агентство-114-12	агентство-115-12	0.06876690826029933
агентство-112-12	агентство-113-12	0.0623340549974569
агентство-110-12	агентство-111-12	0.045588944381879104
агентство-102-12	агентство-103-12	0.05662696140927858
агентство-106-12	агентство-107-12	0.023276575742869923
агентство-104-12	агентство-105-12	0.16127016005348235
агентство-100-12	агентство-101-12	0.06720810748105702
агентство-10-12	агентство-11-12	0.00823823549153471
агентство-0-12	агентство-1-12	0.1151486210318882
агентство-12-12	агентство-13-12	0.08966061560701552
агентство-108-12	агентство-109-12	0.09893130039874262
агентство-14-12	агентство-15-12	0.02423528903757905
агентство-28-12	агентство-29-12	0.06375321396604412
агентство-18-12	агентство-19-12	0.08610317060516008
агентство-60-12	агентство-61-12	0.044005935671721536
агентство-62-12	агентство-63-12	0.12307378000796591
агентство-64-12	агентство-65-12	0.05957537064543577
агентство-66-12	агентство-67-12	0.06396899124749265
агентство-68-12	агентство-69-12	0.16614840510925083
агентство-72-12	агентство-73-12	0.04471440341142157
агентство-74-12	агентство-75-12	0.023679806816158222
агентство-76-12	агентство-77-12	0.06368299348116231
агентство-6-12	агентство-7-12	0.11470114746209992
агентство-78-12	агентство-79-12	0.10602526492685213
агентство-80-12	агентство-81-12	0.028382046270334336
агентство-82-12	агентство-83-12	0.20715445310912664
агентство-84-12	агентство-85-12	0.09034861488346661
агентство-86-12	агентство-87-12	0.11246712398879471
агентство-88-12	агентство-89-12	0.025361054932480982
агентство-90-12	агентство-91-12	0.0013250120479065411
агентство-92-12	агентство-93-12	0.08887520320443441
агентство-94-12	агентство-95-12	0.05524256089933063
агентство-8-12	агентство-9-12	0.08231586743388565
агентство-16-12	агентство-17-12	0.09286261465224585
агентство-58-12	агентство-59-12	0.008635275755821964
агентство-54-12	агентство-55-12	0.034118590267265235
агентство-2-12	агентство-3-12	0.03392616985658307
агентство-20-12	агентство-21-12	0.028046535310803283
агентство-22-12	агентство-23-12	0.07106557260845346
агентство-24-12	агентство-25-12	0.058991498572811746
агентство-26-12	агентство-27-12	0.02651639732628126
агентство-30-12	агентство-31-12	0.0975161198878696
агентство-32-12	агентство-33-12	0.025895074272786218
агентство-34-12	агентство-35-12	0.06802222643806909
агентство-56-12	агентство-57-12	0.039066381478773476
агентство-36-12	агентство-37-12	0.02719377724001767
агентство-4-12	агентство-5-12	0.029539774772832303
агентство-40-12	агентство-41-12	0.07524106071649418
агентство-42-12	агентство-43-12	0.02667424572761227
агентство-44-12	агентство-45-12	0.06824638326350642
агентство-46-12	агентство-47-12	0.05742182090369623
агентство-48-12	агентство-49-12	0.0906687986570725
агентство-50-12	агентство-51-12	0.028990927995749306
агентство-52-12	агентство-53-12	0.03632446317444852
агентство-38-12	агентство-39-12	0.03244329179227495
агентство-70-12	агентство-71-12	0.06706269325461395
агентство-98-12	агентство-99-12	0.054615596665821435
агентство-96-12	агентство-97-12	0.05929768579484668
1918-1990_апостол_798-15	1992-2016_апостол_799-15	0.20581313661679945
1918-1990_апостол_852-15	1992-2016_апостол_853-15	0.15627447267902145
1918-1990_апостол_850-15	1992-2016_апостол_851-15	0.13813894552392073
1918-1990_апостол_848-15	1992-2016_апостол_849-15	0.17589297615440194
1918-1990_апостол_846-15	1992-2016_апостол_847-15	0.2246606565321341
1918-1990_апостол_844-15	1992-2016_апостол_845-15	0.14207692495430996
1918-1990_апостол_842-15	1992-2016_апостол_843-15	0.14821187248805304
1918-1990_апостол_838-15	1992-2016_апостол_839-15	0.09399167532279755
1918-1990_апостол_836-15	1992-2016_апостол_837-15	0.015699136278524792
1918-1990_апостол_834-15	1992-2016_апостол_835-15	0.0913600768428822
1918-1990_апостол_832-15	1992-2016_апостол_833-15	0.17739943060359628
1918-1990_апостол_830-15	1992-2016_апостол_831-15	0.1403405421104297
1918-1990_апостол_824-15	1992-2016_апостол_825-15	0.06819887037401992
1918-1990_апостол_822-15	1992-2016_апостол_823-15	0.13558363194254824
1918-1990_апостол_820-15	1992-2016_апостол_821-15	0.11018836499779106
1918-1990_апостол_818-15	1992-2016_апостол_819-15	0.25142663812560334
1918-1990_апостол_816-15	1992-2016_апостол_817-15	0.07175816330087073
1918-1990_апостол_814-15	1992-2016_апостол_815-15	0.055615456571829
1918-1990_апостол_812-15	1992-2016_апостол_813-15	0.09444270235163109
1918-1990_апостол_808-15	1992-2016_апостол_809-15	0.2874756759258336
1918-1990_апостол_806-15	1992-2016_апостол_807-15	0.02719814810036089
1918-1990_апостол_804-15	1992-2016_апостол_805-15	0.19832073585204074
1918-1990_апостол_802-15	1992-2016_апостол_803-15	0.001955773610888436
1918-1990_апостол_800-15	1992-2016_апостол_801-15	0.173893813196214
1918-1990_апостол_828-15	1992-2016_апостол_829-15	0.08036418571244837
1918-1990_апостол_826-15	1992-2016_апостол_827-15	0.10024112686931937
1918-1990_апостол_856-15	1992-2016_апостол_857-15	0.2959212277420854
1700-1916_апостол_854-16	1992-2016_апостол_855-16	0.13346458814862908
1700-1916_апостол_830-16	1992-2016_апостол_831-16	0.10200926613862606
1700-1916_апостол_830-14	1918-1990_апостол_831-14	0.09442123719296279
1700-1916_апостол_828-16	1992-2016_апостол_829-16	0.0718267497589886
1700-1916_апостол_828-14	1918-1990_апостол_829-14	0.12902228253567413
1700-1916_апостол_826-16	1992-2016_апостол_827-16	0.0678120025577398
1700-1916_апостол_826-14	1918-1990_апостол_827-14	0.13018164848731603
1700-1916_апостол_824-16	1992-2016_апостол_825-16	0.14521284096776726
1700-1916_апостол_824-14	1918-1990_апостол_825-14	0.014401016506055072
1700-1916_апостол_822-14	1918-1990_апостол_823-14	0.16074768927037944
1700-1916_апостол_820-16	1992-2016_апостол_821-16	0.11720116894711963
1700-1916_апостол_820-14	1918-1990_апостол_821-14	0.10617348714077252
1700-1916_апостол_818-16	1992-2016_апостол_819-16	0.14580394578629016
1700-1916_апостол_818-14	1918-1990_апостол_819-14	0.10366472388234767
1700-1916_апостол_816-16	1992-2016_апостол_817-16	0.0405168637232615
1700-1916_апостол_816-14	1918-1990_апостол_817-14	0.09141660135148429
1700-1916_апостол_814-14	1918-1990_апостол_815-14	0.1508002710945384
1700-1916_апостол_812-16	1992-2016_апостол_813-16	0.2869448236771341
1700-1916_апостол_812-14	1918-1990_апостол_813-14	0.0578343383266204
1700-1916_апостол_810-16	1992-2016_апостол_811-16	0.07263553419592733
1700-1916_апостол_810-16	1918-1990_апостол_809-14	0.08578804934684048
1700-1916_апостол_810-14	1918-1990_апостол_811-14	0.09659375373153173
1700-1916_апостол_808-16	1992-2016_апостол_809-16	0.05589234980586781
1700-1916_апостол_806-16	1992-2016_апостол_807-16	0.12695513403051933
1700-1916_апостол_854-14	1918-1990_апостол_855-14	0.2152456468875656
1700-1916_апостол_856-16	1992-2016_апостол_857-16	0.0417896470253014
1918-1990_апостол_854-15	1992-2016_апостол_829-16	0.09626749260735286
1700-1916_апостол_832-16	1992-2016_апостол_833-16	0.08712299739051416
1700-1916_апостол_832-14	1918-1990_апостол_833-14	0.1514018428611909
1700-1916_апостол_834-16	1992-2016_апостол_835-16	0.13294223719234538
1700-1916_апостол_798-14	1918-1990_апостол_799-14	0.34539329050452633
1700-1916_апостол_798-16	1992-2016_апостол_799-16	0.20201403969715834
1700-1916_апостол_800-16	1992-2016_апостол_801-16	0.19508175488347618
1700-1916_апостол_802-14	1918-1990_апостол_803-14	0.3021086647658849
1700-1916_апостол_802-16	1992-2016_апостол_803-16	0.08746811100719955
1700-1916_апостол_804-14	1918-1990_апостол_805-14	0.2675509947202311
1700-1916_апостол_804-16	1992-2016_апостол_805-16	0.1516523087898462
1700-1916_апостол_806-14	1918-1990_апостол_807-14	0.1291897134739407
1700-1916_апостол_852-16	1992-2016_апостол_853-16	0.2638380001112605
1700-1916_апостол_852-14	1918-1990_апостол_853-14	0.20198474472630368
1700-1916_апостол_834-14	1918-1990_апостол_835-14	0.1537070162555383
1700-1916_апостол_850-14	1918-1990_апостол_851-14	0.05214148644800676
1700-1916_апостол_848-16	1992-2016_апостол_849-16	0.1586870378845016
1700-1916_апостол_850-16	1992-2016_апостол_851-16	0.08017385184369429
1700-1916_апостол_846-16	1992-2016_апостол_847-16	0.014541594390399227
1700-1916_апостол_836-14	1918-1990_апостол_837-14	0.15304938088826486
1700-1916_апостол_836-16	1992-2016_апостол_837-16	0.07326056409033119
1700-1916_апостол_848-14	1918-1990_апостол_849-14	0.06230075717752155
1700-1916_апостол_838-16	1992-2016_апостол_839-16	0.13910616126226152
1700-1916_апостол_840-14	1918-1990_апостол_841-14	0.04116749639443551
1700-1916_апостол_838-14	1918-1990_апостол_839-14	0.1349720597559551
1700-1916_апостол_842-16	1992-2016_апостол_843-16	0.047117274451284046
1700-1916_апостол_844-14	1918-1990_апостол_845-14	0.07180930105850615
1700-1916_апостол_844-16	1992-2016_апостол_845-16	0.1059688333757439
1700-1916_апостол_846-14	1918-1990_апостол_847-14	0.09607507358622994
1700-1916_апостол_842-14	1918-1990_апостол_843-14	0.11151862500672316
ателье-112-13	ателье-113-13	0.04909381627007142
ателье-98-13	ателье-99-13	0.0686459621496319
ателье-8-13	ателье-9-13	0.04180002553497851
ателье-80-13	ателье-81-13	0.003510030875568906
ателье-4-13	ателье-5-13	0.09573102290270322
ателье-40-13	ателье-41-13	0.051000819152584635
ателье-42-13	ателье-43-13	0.02877204222847513
ателье-44-13	ателье-45-13	0.04648098902109477
ателье-46-13	ателье-47-13	0.07839200536459515
ателье-48-13	ателье-49-13	0.05151655996921556
ателье-50-13	ателье-51-13	0.039946202391817516
ателье-54-13	ателье-55-13	0.02846814706551839
ателье-56-13	ателье-57-13	0.043860623518379875
